ID,Player,Name,T,R,SR,Mat,Inn,NO,HS,Avg,30s,50s,100s,6s
135,https://scores.iplt20.com/ipl/playerimages/Vijayakanth Viyaskanth.png,Vijayakanth Viyaskanth,https://scores.iplt20.com/ipl/teamlogos/SRH.png?,7,140,3,1,1,7*,-,0,0,0,0
136,https://scores.iplt20.com/ipl/playerimages/Spencer Johnson.png,Spencer Johnson,https://scores.iplt20.com/ipl/teamlogos/GT.png?,6,85,5,3,3,5*,-,0,0,0,0
137,https://scores.iplt20.com/ipl/playerimages/Anmolpreet Singh.png,Anmolpreet Singh,https://scores.iplt20.com/ipl/teamlogos/SRH.png?,5,83,2,2,0,5,2,0,0,0,0
138,https://scores.iplt20.com/ipl/playerimages/Noor Ahmad.png,Noor Ahmad,https://scores.iplt20.com/ipl/teamlogos/GT.png?,5,55,10,4,2,4,2,0,0,0,0
139,https://scores.iplt20.com/ipl/playerimages/Arshdeep Singh.png,Arshdeep Singh,https://scores.iplt20.com/ipl/teamlogos/PBKS.png?,4,133,14,1,0,4,4,0,0,0,0
140,https://scores.iplt20.com/ipl/playerimages/Akash Madhwal.png,Akash Madhwal,https://scores.iplt20.com/ipl/teamlogos/MI.png?,4,80,5,1,1,4*,-,0,0,0,0
141,https://scores.iplt20.com/ipl/playerimages/Matthew Wade.png,Matthew Wade,https://scores.iplt20.com/ipl/teamlogos/GT.png?,4,66,2,1,0,4,4,0,0,0,0
142,https://scores.iplt20.com/ipl/playerimages/Ravi Bishnoi.png,Ravi Bishnoi,https://scores.iplt20.com/ipl/teamlogos/LSG.png?,4,66,14,3,0,2,1,0,0,0,0
143,https://scores.iplt20.com/ipl/playerimages/Anrich Nortje.png,Anrich Nortje,https://scores.iplt20.com/ipl/teamlogos/DC.png?,4,50,6,2,0,4,2,0,0,0,0
144,https://scores.iplt20.com/ipl/playerimages/Anukul Roy.png,Anukul Roy,https://scores.iplt20.com/ipl/teamlogos/KKR.png?,3,100,4,1,1,3*,-,0,0,0,0
145,https://scores.iplt20.com/ipl/playerimages/Reece Topley.png,Reece Topley,https://scores.iplt20.com/ipl/teamlogos/RCB.png?,3,50,4,1,1,3*,-,0,0,0,0
146,https://scores.iplt20.com/ipl/playerimages/Kumar Kushagra.png,Kumar Kushagra,https://scores.iplt20.com/ipl/teamlogos/DC.png?,3,42,4,3,0,2,1,0,0,0,0
147,https://scores.iplt20.com/ipl/playerimages/Mukesh Kumar.png,Mukesh Kumar,https://scores.iplt20.com/ipl/teamlogos/DC.png?,3,33,10,2,1,3,3,0,0,0,0
148,https://scores.iplt20.com/ipl/playerimages/Ricky Bhui.png,Ricky Bhui,https://scores.iplt20.com/ipl/teamlogos/DC.png?,3,33,2,2,0,3,1,0,0,0,0
149,https://scores.iplt20.com/ipl/playerimages/Mohsin Khan.png,Mohsin Khan,https://scores.iplt20.com/ipl/teamlogos/LSG.png?,2,200,10,1,0,2,2,0,0,0,0
