,ID,Name,Runs_scored,Bat_Strike,Mat,Inn,NO,HS,Bat_Avg,30s,50s,100s,6s,Wickets_Taken,Ball_Avg,Ovr,Runs_conceeded,BBF,EC,Ball_Strike,3w,5w,Mdns,Team,Player,role,batting_style,bowling_style
136,136.0,Rovman Powell,103.0,151.0,10.0,7.0,1.0,27,17,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,https://scores.iplt20.com/ipl/teamlogos/RR.png?,https://scores.iplt20.com/ipl/playerimages/Rovman Powell.png,Middle order Batter,Right hand Bat,Right arm Medium fast
137,137.0,Ruturaj Gaikwad,583.0,141.0,14.0,14.0,3.0,108*,53,3.0,4.0,1.0,18.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,https://scores.iplt20.com/ipl/teamlogos/CSK.png?,https://scores.iplt20.com/ipl/playerimages/Ruturaj Gaikwad.png,Batter,Right hand Bat,Right arm Offbreak
138,138.0,Sai Kishore,13.0,216.0,5.0,2.0,1.0,13,13,0.0,0.0,0.0,2.0,7.0,19.0,15.0,137.0,4/33,9.0,12.0,1.0,0.0,0.0,https://scores.iplt20.com/ipl/teamlogos/GT.png?,https://scores.iplt20.com/ipl/playerimages/Sai Kishore.png,,,
139,139.0,Sai Sudharsan,527.0,141.0,12.0,12.0,1.0,103,47,7.0,2.0,1.0,16.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,https://scores.iplt20.com/ipl/teamlogos/GT.png?,https://scores.iplt20.com/ipl/playerimages/Sai Sudharsan.png,Top order Batter,Left hand Bat,Legbreak
140,140.0,Sam Curran,270.0,123.0,13.0,12.0,2.0,63*,27,0.0,2.0,0.0,6.0,16.0,26.0,41.0,416.0,3/28,10.0,15.0,1.0,0.0,0.0,https://scores.iplt20.com/ipl/teamlogos/PBKS.png?,https://scores.iplt20.com/ipl/playerimages/Sam Curran.png,Allrounder,Left hand Bat,Left arm Medium fast
141,141.0,Sameer Rizvi,51.0,118.0,8.0,5.0,1.0,21,12,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,https://scores.iplt20.com/ipl/teamlogos/CSK.png?,https://scores.iplt20.com/ipl/playerimages/Sameer Rizvi.png,,,
142,142.0,Sandeep Sharma,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,13.0,23.0,38.0,311.0,5/18,8.0,17.0,0.0,1.0,0.0,https://scores.iplt20.com/ipl/teamlogos/RR.png?,https://scores.iplt20.com/ipl/playerimages/Sandeep Sharma.png,Bowler,Right hand Bat,Right arm Medium
143,143.0,Sandeep Warrier,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,6.0,19.0,11.0,119.0,3/15,10.0,11.0,1.0,0.0,0.0,https://scores.iplt20.com/ipl/teamlogos/GT.png?,https://scores.iplt20.com/ipl/playerimages/Sandeep Warrier.png,Bowler,Right hand Bat,Right arm Medium
144,144.0,Sanju Samson,531.0,153.0,16.0,15.0,4.0,86,48,1.0,5.0,0.0,24.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,https://scores.iplt20.com/ipl/teamlogos/RR.png?,https://scores.iplt20.com/ipl/playerimages/Sanju Samson.png,Wicketkeeper Batter,Right hand Bat,DNB
145,145.0,Sanvir Singh,14.0,116.0,4.0,3.0,2.0,8*,14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,https://scores.iplt20.com/ipl/teamlogos/SRH.png?,https://scores.iplt20.com/ipl/playerimages/Sanvir Singh.png,Allrounder,Right hand Bat,Right arm Medium
