,ID,Match No,Name,Team1,Team1 Logo,Team2,Team2 Logo,Score1,Score2,Summary,Stadium,City,Team1_Captain,Team2_Captain
46,2,Match 3,Kolkata Knight Riders vs Sunrisers Hyderabad,Kolkata Knight Riders,https://scores.iplt20.com/ipl/teamlogos/KKR.png,Sunrisers Hyderabad,https://scores.iplt20.com/ipl/teamlogos/SRH.png,208/7 (20 overs),204/7 (20 overs),Kolkata Knight Riders won by 4 runs,Eden Gardens,Kolkata,https://scores.iplt20.com/ipl/playerimages/Shreyas Iyer.png,https://scores.iplt20.com/ipl/playerimages/Pat Cummins.png
47,27,Match 28,Lucknow Super Giants vs Kolkata Knight Riders,Lucknow Super Giants,https://scores.iplt20.com/ipl/teamlogos/LSG.png,Kolkata Knight Riders,https://scores.iplt20.com/ipl/teamlogos/KKR.png,161/7 (20 overs),162/2 (15.4 overs),Kolkata Knight Riders won by 8 wickets,Eden Gardens,Kolkata,https://scores.iplt20.com/ipl/playerimages/KL Rahul.png,https://scores.iplt20.com/ipl/playerimages/Shreyas Iyer.png
48,30,Match 31,Kolkata Knight Riders vs Rajasthan Royals,Kolkata Knight Riders,https://scores.iplt20.com/ipl/teamlogos/KKR.png,Rajasthan Royals,https://scores.iplt20.com/ipl/teamlogos/RR.png,223/6 (20 overs),224/8 (20 overs),Rajasthan Royals won by 2 wickets,Eden Gardens,Kolkata,https://scores.iplt20.com/ipl/playerimages/Shreyas Iyer.png,https://scores.iplt20.com/ipl/playerimages/Sanju Samson.png
49,35,Match 36,Kolkata Knight Riders vs Royal Challengers Bengaluru,Kolkata Knight Riders,https://scores.iplt20.com/ipl/teamlogos/KKR.png,Royal Challengers Bengaluru,https://scores.iplt20.com/ipl/teamlogos/RCB.png,222/6 (20 overs),221 (20 overs),Kolkata Knight Riders won by 1 run,Eden Gardens,Kolkata,https://scores.iplt20.com/ipl/playerimages/Shreyas Iyer.png,https://scores.iplt20.com/ipl/playerimages/Faf du Plessis.png
50,41,Match 42,Kolkata Knight Riders vs Punjab Kings,Kolkata Knight Riders,https://scores.iplt20.com/ipl/teamlogos/KKR.png,Punjab Kings,https://scores.iplt20.com/ipl/teamlogos/PBKS.png,261/6 (20 overs),262/2 (18.4 overs),Punjab Kings won by 8 wickets,Eden Gardens,Kolkata,https://scores.iplt20.com/ipl/playerimages/Shreyas Iyer.png,https://scores.iplt20.com/ipl/playerimages/Shikhar Dhawan.png
51,46,Match 47,Delhi Capitals vs Kolkata Knight Riders,Delhi Capitals,https://scores.iplt20.com/ipl/teamlogos/DC.png,Kolkata Knight Riders,https://scores.iplt20.com/ipl/teamlogos/KKR.png,153/9 (20 overs),157/3 (16.3 overs),Kolkata Knight Riders won by 7 wickets,Eden Gardens,Kolkata,https://scores.iplt20.com/ipl/playerimages/Rishabh Pant.png,https://scores.iplt20.com/ipl/playerimages/Shreyas Iyer.png
52,59,Match 60,Kolkata Knight Riders vs Mumbai Indians,Kolkata Knight Riders,https://scores.iplt20.com/ipl/teamlogos/KKR.png,Mumbai Indians,https://scores.iplt20.com/ipl/teamlogos/MI.png,157/7 (16 overs),139/8 (16 overs),Kolkata Knight Riders won by 18 runs,Eden Gardens,Kolkata,https://scores.iplt20.com/ipl/playerimages/Shreyas Iyer.png,https://scores.iplt20.com/ipl/playerimages/Hardik Pandya.png
53,10,Match 11,Lucknow Super Giants vs Punjab Kings,Lucknow Super Giants,https://scores.iplt20.com/ipl/teamlogos/LSG.png,Punjab Kings,https://scores.iplt20.com/ipl/teamlogos/PBKS.png,199/8 (20 overs),178/5 (20 overs),Lucknow Super Giants won by 21 runs,BRSABV Ekana Cricket Stadium,Lucknow,https://scores.iplt20.com/ipl/playerimages/KL Rahul.png,https://scores.iplt20.com/ipl/playerimages/Shikhar Dhawan.png
54,20,Match 21,Lucknow Super Giants vs Gujarat Titans,Lucknow Super Giants,https://scores.iplt20.com/ipl/teamlogos/LSG.png,Gujarat Titans,https://scores.iplt20.com/ipl/teamlogos/GT.png,163/5 (20 overs),130 (18.5 overs),Lucknow Super Giants won by 33 runs,BRSABV Ekana Cricket Stadium,Lucknow,https://scores.iplt20.com/ipl/playerimages/KL Rahul.png,https://scores.iplt20.com/ipl/playerimages/Shubman Gill.png
55,25,Match 26,Lucknow Super Giants vs Delhi Capitals,Lucknow Super Giants,https://scores.iplt20.com/ipl/teamlogos/LSG.png,Delhi Capitals,https://scores.iplt20.com/ipl/teamlogos/DC.png,167/7 (20 overs),170/4 (18.1 overs),Delhi Capitals won by 6 wickets,BRSABV Ekana Cricket Stadium,Lucknow,https://scores.iplt20.com/ipl/playerimages/KL Rahul.png,https://scores.iplt20.com/ipl/playerimages/Rishabh Pant.png
56,33,Match 34,Chennai Super Kings vs Lucknow Super Giants,Chennai Super Kings,https://scores.iplt20.com/ipl/teamlogos/CSK.png,Lucknow Super Giants,https://scores.iplt20.com/ipl/teamlogos/LSG.png,176/6 (20 overs),180/2 (19 overs),Lucknow Super Giants won by 8 wickets,BRSABV Ekana Cricket Stadium,Lucknow,https://scores.iplt20.com/ipl/playerimages/Ruturaj Gaikwad.png,https://scores.iplt20.com/ipl/playerimages/KL Rahul.png
57,43,Match 44,Lucknow Super Giants vs Rajasthan Royals,Lucknow Super Giants,https://scores.iplt20.com/ipl/teamlogos/LSG.png,Rajasthan Royals,https://scores.iplt20.com/ipl/teamlogos/RR.png,196/5 (20 overs),199/3 (19 overs),Rajasthan Royals won by 7 wickets,BRSABV Ekana Cricket Stadium,Lucknow,https://scores.iplt20.com/ipl/playerimages/KL Rahul.png,https://scores.iplt20.com/ipl/playerimages/Sanju Samson.png
58,47,Match 48,Mumbai Indians vs Lucknow Super Giants,Mumbai Indians,https://scores.iplt20.com/ipl/teamlogos/MI.png,Lucknow Super Giants,https://scores.iplt20.com/ipl/teamlogos/LSG.png,144/7 (20 overs),145/6 (19.2 overs),Lucknow Super Giants won by 4 wickets,BRSABV Ekana Cricket Stadium,Lucknow,https://scores.iplt20.com/ipl/playerimages/Hardik Pandya.png,https://scores.iplt20.com/ipl/playerimages/KL Rahul.png
59,53,Match 54,Kolkata Knight Riders vs Lucknow Super Giants,Kolkata Knight Riders,https://scores.iplt20.com/ipl/teamlogos/KKR.png,Lucknow Super Giants,https://scores.iplt20.com/ipl/teamlogos/LSG.png,235/6 (20 overs),137 (16.1 overs),Kolkata Knight Riders won by 98 runs,BRSABV Ekana Cricket Stadium,Lucknow,https://scores.iplt20.com/ipl/playerimages/Shreyas Iyer.png,https://scores.iplt20.com/ipl/playerimages/KL Rahul.png
60,1,Match 2,Delhi Capitals vs Punjab Kings,Delhi Capitals,https://scores.iplt20.com/ipl/teamlogos/DC.png,Punjab Kings,https://scores.iplt20.com/ipl/teamlogos/PBKS.png,174/9 (20 overs),177/6 (19.2 overs),Punjab Kings won by 4 wickets,Maharaja Yadavindra Singh International Cricket Stadium,Mullanpur,https://scores.iplt20.com/ipl/playerimages/Rishabh Pant.png,https://scores.iplt20.com/ipl/playerimages/Shikhar Dhawan.png
61,22,Match 23,Sunrisers Hyderabad vs Punjab Kings,Sunrisers Hyderabad,https://scores.iplt20.com/ipl/teamlogos/SRH.png,Punjab Kings,https://scores.iplt20.com/ipl/teamlogos/PBKS.png,182/9 (20 overs),180/6 (20 overs),Sunrisers Hyderabad won by 2 runs,Maharaja Yadavindra Singh International Cricket Stadium,Mullanpur,https://scores.iplt20.com/ipl/playerimages/Pat Cummins.png,https://scores.iplt20.com/ipl/playerimages/Shikhar Dhawan.png
62,26,Match 27,Punjab Kings vs Rajasthan Royals,Punjab Kings,https://scores.iplt20.com/ipl/teamlogos/PBKS.png,Rajasthan Royals,https://scores.iplt20.com/ipl/teamlogos/RR.png,147/8 (20 overs),152/7 (19.5 overs),Rajasthan Royals won by 3 wickets,Maharaja Yadavindra Singh International Cricket Stadium,Mullanpur,https://scores.iplt20.com/ipl/playerimages/Shikhar Dhawan.png,https://scores.iplt20.com/ipl/playerimages/Sanju Samson.png
63,32,Match 33,Mumbai Indians vs Punjab Kings,Mumbai Indians,https://scores.iplt20.com/ipl/teamlogos/MI.png,Punjab Kings,https://scores.iplt20.com/ipl/teamlogos/PBKS.png,192/7 (20 overs),183 (19.1 overs),Mumbai Indians won by 9 runs,Maharaja Yadavindra Singh International Cricket Stadium,Mullanpur,https://scores.iplt20.com/ipl/playerimages/Hardik Pandya.png,https://scores.iplt20.com/ipl/playerimages/Shikhar Dhawan.png
64,36,Match 37,Punjab Kings vs Gujarat Titans,Punjab Kings,https://scores.iplt20.com/ipl/teamlogos/PBKS.png,Gujarat Titans,https://scores.iplt20.com/ipl/teamlogos/GT.png,142 (20 overs),146/7 (19.1 overs),Gujarat Titans won by 3 wickets,Maharaja Yadavindra Singh International Cricket Stadium,Mullanpur,https://scores.iplt20.com/ipl/playerimages/Shikhar Dhawan.png,https://scores.iplt20.com/ipl/playerimages/Shubman Gill.png
65,13,Match 14,Mumbai Indians vs Rajasthan Royals,Mumbai Indians,https://scores.iplt20.com/ipl/teamlogos/MI.png,Rajasthan Royals,https://scores.iplt20.com/ipl/teamlogos/RR.png,125/9 (20 overs),127/4 (15.3 overs),Rajasthan Royals won by 6 wickets,Wankhede Stadium,Mumbai,https://scores.iplt20.com/ipl/playerimages/Hardik Pandya.png,https://scores.iplt20.com/ipl/playerimages/Sanju Samson.png
66,19,Match 20,Mumbai Indians vs Delhi Capitals,Mumbai Indians,https://scores.iplt20.com/ipl/teamlogos/MI.png,Delhi Capitals,https://scores.iplt20.com/ipl/teamlogos/DC.png,234/5 (20 overs),205/8 (20 overs),Mumbai Indians won by 29 runs,Wankhede Stadium,Mumbai,https://scores.iplt20.com/ipl/playerimages/Hardik Pandya.png,https://scores.iplt20.com/ipl/playerimages/Rishabh Pant.png
67,24,Match 25,Royal Challengers Bengaluru vs Mumbai Indians,Royal Challengers Bengaluru,https://scores.iplt20.com/ipl/teamlogos/RCB.png,Mumbai Indians,https://scores.iplt20.com/ipl/teamlogos/MI.png,196/8 (20 overs),199/3 (15.3 overs),Mumbai Indians won by 7 wickets,Wankhede Stadium,Mumbai,https://scores.iplt20.com/ipl/playerimages/Faf du Plessis.png,https://scores.iplt20.com/ipl/playerimages/Hardik Pandya.png
68,28,Match 29,Chennai Super Kings vs Mumbai Indians,Chennai Super Kings,https://scores.iplt20.com/ipl/teamlogos/CSK.png,Mumbai Indians,https://scores.iplt20.com/ipl/teamlogos/MI.png,206/4 (20 overs),186/6 (20 overs),Chennai Super Kings won by 20 runs,Wankhede Stadium,Mumbai,https://scores.iplt20.com/ipl/playerimages/Ruturaj Gaikwad.png,https://scores.iplt20.com/ipl/playerimages/Hardik Pandya.png
69,50,Match 51,Kolkata Knight Riders vs Mumbai Indians,Kolkata Knight Riders,https://scores.iplt20.com/ipl/teamlogos/KKR.png,Mumbai Indians,https://scores.iplt20.com/ipl/teamlogos/MI.png,169 (19.5 overs),145 (18.5 overs),Kolkata Knight Riders won by 24 runs,Wankhede Stadium,Mumbai,https://scores.iplt20.com/ipl/playerimages/Shreyas Iyer.png,https://scores.iplt20.com/ipl/playerimages/Hardik Pandya.png
70,54,Match 55,Sunrisers Hyderabad vs Mumbai Indians,Sunrisers Hyderabad,https://scores.iplt20.com/ipl/teamlogos/SRH.png,Mumbai Indians,https://scores.iplt20.com/ipl/teamlogos/MI.png,173/8 (20 overs),174/3 (17.2 overs),Mumbai Indians won by 7 wickets,Wankhede Stadium,Mumbai,https://scores.iplt20.com/ipl/playerimages/Pat Cummins.png,https://scores.iplt20.com/ipl/playerimages/Hardik Pandya.png
71,66,Match 67,Lucknow Super Giants vs Mumbai Indians,Lucknow Super Giants,https://scores.iplt20.com/ipl/teamlogos/LSG.png,Mumbai Indians,https://scores.iplt20.com/ipl/teamlogos/MI.png,214/6 (20 overs),196/6 (20 overs),Lucknow Super Giants won by 18 runs,Wankhede Stadium,Mumbai,https://scores.iplt20.com/ipl/playerimages/KL Rahul.png,https://scores.iplt20.com/ipl/playerimages/Hardik Pandya.png
72,12,Match 13,Delhi Capitals vs Chennai Super Kings,Delhi Capitals,https://scores.iplt20.com/ipl/teamlogos/DC.png,Chennai Super Kings,https://scores.iplt20.com/ipl/teamlogos/CSK.png,191/5 (20 overs),171/6 (20 overs),Delhi Capitals won by 20 runs,ACA-VDCA Cricket Stadium,Visakhapatnam,https://scores.iplt20.com/ipl/playerimages/Rishabh Pant.png,https://scores.iplt20.com/ipl/playerimages/Ruturaj Gaikwad.png
73,15,Match 16,Kolkata Knight Riders vs Delhi Capitals,Kolkata Knight Riders,https://scores.iplt20.com/ipl/teamlogos/KKR.png,Delhi Capitals,https://scores.iplt20.com/ipl/teamlogos/DC.png,272/7 (20 overs),166 (17.2 overs),Kolkata Knight Riders won by 106 runs,ACA-VDCA Cricket Stadium,Visakhapatnam,https://scores.iplt20.com/ipl/playerimages/Shreyas Iyer.png,https://scores.iplt20.com/ipl/playerimages/Rishabh Pant.png
