,ID,Match No,Name,Team1,Team1 Logo,Team2,Team2 Logo,Score1,Score2,Summary,Stadium,City,Team1_Captain,Team2_Captain
10,9,Match 10,Royal Challengers Bengaluru vs Kolkata Knight Riders,Royal Challengers Bengaluru,https://scores.iplt20.com/ipl/teamlogos/RCB.png,Kolkata Knight Riders,https://scores.iplt20.com/ipl/teamlogos/KKR.png,182/6 (20 overs),186/3 (16.5 overs),Kolkata Knight Riders won by 7 wickets,M. Chinnaswamy Stadium,Bengaluru,https://scores.iplt20.com/ipl/playerimages/Faf du Plessis.png,https://scores.iplt20.com/ipl/playerimages/Shreyas Iyer.png
11,14,Match 15,Lucknow Super Giants vs Royal Challengers Bengaluru,Lucknow Super Giants,https://scores.iplt20.com/ipl/teamlogos/LSG.png,Royal Challengers Bengaluru,https://scores.iplt20.com/ipl/teamlogos/RCB.png,181/5 (20 overs),153 (19.4 overs),Lucknow Super Giants won by 28 runs,M. Chinnaswamy Stadium,Bengaluru,https://scores.iplt20.com/ipl/playerimages/KL Rahul.png,https://scores.iplt20.com/ipl/playerimages/Faf du Plessis.png
12,29,Match 30,Sunrisers Hyderabad vs Royal Challengers Bengaluru,Sunrisers Hyderabad,https://scores.iplt20.com/ipl/teamlogos/SRH.png,Royal Challengers Bengaluru,https://scores.iplt20.com/ipl/teamlogos/RCB.png,287/3 (20 overs),262/7 (20 overs),Sunrisers Hyderabad won by 25 runs,M. Chinnaswamy Stadium,Bengaluru,https://scores.iplt20.com/ipl/playerimages/Pat Cummins.png,https://scores.iplt20.com/ipl/playerimages/Faf du Plessis.png
13,51,Match 52,Gujarat Titans vs Royal Challengers Bengaluru,Gujarat Titans,https://scores.iplt20.com/ipl/teamlogos/GT.png,Royal Challengers Bengaluru,https://scores.iplt20.com/ipl/teamlogos/RCB.png,147 (19.3 overs),152/6 (13.4 overs),Royal Challengers Bengaluru won by 4 wickets,M. Chinnaswamy Stadium,Bengaluru,https://scores.iplt20.com/ipl/playerimages/Shubman Gill.png,https://scores.iplt20.com/ipl/playerimages/Faf du Plessis.png
14,61,Match 62,Royal Challengers Bengaluru vs Delhi Capitals,Royal Challengers Bengaluru,https://scores.iplt20.com/ipl/teamlogos/RCB.png,Delhi Capitals,https://scores.iplt20.com/ipl/teamlogos/DC.png,187/9 (20 overs),140 (19.1 overs),Royal Challengers Bengaluru won by 47 runs,M. Chinnaswamy Stadium,Bengaluru,https://scores.iplt20.com/ipl/playerimages/Faf du Plessis.png,https://scores.iplt20.com/ipl/playerimages/Rishabh Pant.png
15,67,Match 68,Royal Challengers Bengaluru vs Chennai Super Kings,Royal Challengers Bengaluru,https://scores.iplt20.com/ipl/teamlogos/RCB.png,Chennai Super Kings,https://scores.iplt20.com/ipl/teamlogos/CSK.png,218/5 (20 overs),191/7 (20 overs),Royal Challengers Bengaluru won by 27 runs,M. Chinnaswamy Stadium,Bengaluru,https://scores.iplt20.com/ipl/playerimages/Faf du Plessis.png,https://scores.iplt20.com/ipl/playerimages/Ruturaj Gaikwad.png
16,0,Match 1,Royal Challengers Bengaluru vs Chennai Super Kings,Royal Challengers Bengaluru,https://scores.iplt20.com/ipl/teamlogos/RCB.png,Chennai Super Kings,https://scores.iplt20.com/ipl/teamlogos/CSK.png,173/6 (20 overs),176/4 (18.4 overs),Chennai Super Kings won by 6 wickets,M. A. Chidambaram Stadium,Chennai,https://scores.iplt20.com/ipl/playerimages/Faf du Plessis.png,https://scores.iplt20.com/ipl/playerimages/Ruturaj Gaikwad.png
17,6,Match 7,Chennai Super Kings vs Gujarat Titans,Chennai Super Kings,https://scores.iplt20.com/ipl/teamlogos/CSK.png,Gujarat Titans,https://scores.iplt20.com/ipl/teamlogos/GT.png,206/6 (20 overs),143/8 (20 overs),Chennai Super Kings won by 63 runs,M. A. Chidambaram Stadium,Chennai,https://scores.iplt20.com/ipl/playerimages/Ruturaj Gaikwad.png,https://scores.iplt20.com/ipl/playerimages/Shubman Gill.png
18,21,Match 22,Kolkata Knight Riders vs Chennai Super Kings,Kolkata Knight Riders,https://scores.iplt20.com/ipl/teamlogos/KKR.png,Chennai Super Kings,https://scores.iplt20.com/ipl/teamlogos/CSK.png,137/9 (20 overs),141/3 (17.4 overs),Chennai Super Kings won by 7 wickets,M. A. Chidambaram Stadium,Chennai,https://scores.iplt20.com/ipl/playerimages/Shreyas Iyer.png,https://scores.iplt20.com/ipl/playerimages/Ruturaj Gaikwad.png
19,38,Match 39,Chennai Super Kings vs Lucknow Super Giants,Chennai Super Kings,https://scores.iplt20.com/ipl/teamlogos/CSK.png,Lucknow Super Giants,https://scores.iplt20.com/ipl/teamlogos/LSG.png,210/4 (20 overs),213/4 (19.3 overs),Lucknow Super Giants won by 6 wickets,M. A. Chidambaram Stadium,Chennai,https://scores.iplt20.com/ipl/playerimages/Ruturaj Gaikwad.png,https://scores.iplt20.com/ipl/playerimages/KL Rahul.png
